[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of Southern Maryland,23,5,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of the Albemarle,14,12,1,-,-,3,1,5,3,2,1,7,3,16,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of the Desert,-,-,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of the Ouachitas,-,1,8,12,5,8,5,16,4,-,5,1,12,6,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",College of the Sequoias,-,4,15,15,16,4,15,-,1,1,3,3,-,2,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Collin County Community College District,10,10,14,14,8,2,-,-,-,-,-,-,4,10,9,4,-,2,1,11,2
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Colorado Mountain College,21,23,15,16,44,8,5,-,3,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Columbia College,-,-,-,-,-,-,-,-,1,1,3,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Columbia Southern University,11,7,19,11,9,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Columbus State Community College,81,71,96,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Community Business College,-,-,-,-,-,-,-,-,-,-,-,-,115,115,123,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Community College of Allegheny County,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Community College of Aurora,1,-,9,17,5,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Community College of Denver,6,4,3,3,2,1,-,3,2,2,8,3,7,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Compu-Med Vocational Careers Corp,23,3,7,-,7,11,19,26,26,37,42,30,21,29,35,77,124,20,5,19,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Computer Learning Centers Inc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,878,411,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Computer Training Academy-Pleasanton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Conejo Valley Adult Education,-,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Contra Costa College,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Coshocton County Joint Vocational Career Center,-,-,-,-,-,-,-,-,-,-,-,-,-,72,90,140,86,-,-,85,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Cosumnes River College,-,1,-,2,-,-,-,-,-,1,-,-,-,8,-,-,-,-,-,-,-
Award of less than 1 academic year,"11.01 - Computer And Information Sciences, General",Crafton Hills College,2,2,6,13,11,9,13,17,28,15,16,3,-,9,-,-,-,-,-,-,-
