[Award Level Code],[CIP Code and Description (4 digit)],[Institution Name],2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Missouri-Columbia,62,87,76,71,56,53,48,54,65,47,62,42,57,54,43,53,69,70,60,87,77
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Missouri-Kansas City,50,49,33,23,30,24,9,18,22,13,15,16,16,20,6,8,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Missouri-St Louis,37,40,36,23,17,20,29,23,30,18,20,23,21,21,7,17,13,7,6,11,3
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Nebraska-Lincoln,76,67,57,67,57,46,59,50,59,53,57,66,50,55,51,54,41,36,38,43,39
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Nevada-Las Vegas,32,26,26,16,22,23,21,29,20,35,26,18,14,26,14,22,13,21,20,25,20
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Nevada-Reno,45,36,45,29,25,22,25,23,23,35,18,26,39,26,32,20,22,39,28,33,29
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of New Hampshire-Main Campus,22,25,33,29,33,24,35,20,22,13,21,22,37,33,24,20,19,21,30,23,32
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of New Haven,16,22,21,13,10,7,11,6,14,3,8,14,7,12,8,11,17,21,13,21,17
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of New Mexico-Main Campus,45,46,47,34,29,37,28,31,33,31,53,48,52,40,48,38,33,32,41,36,37
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of New Orleans,23,23,22,25,31,21,34,36,23,20,30,36,32,45,31,30,33,41,36,35,31
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of North Carolina at Charlotte,63,65,40,59,41,49,48,50,35,53,41,35,52,42,54,46,40,42,51,40,50
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of North Dakota,41,57,44,37,36,32,28,25,25,27,27,24,24,23,12,22,22,35,28,24,21
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of North Florida,18,32,20,32,25,36,25,33,19,26,28,31,35,31,37,25,24,33,21,21,16
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of North Texas,60,41,41,44,23,16,24,18,29,7,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Notre Dame,37,35,32,35,31,29,25,19,25,37,12,41,37,29,37,23,20,15,22,19,27
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Oklahoma-Norman Campus,61,53,61,41,44,31,26,26,23,51,41,38,52,47,51,52,56,57,59,66,94
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Pennsylvania,14,16,15,25,27,25,21,30,14,24,39,31,37,31,35,39,30,32,52,40,32
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Pittsburgh-Pittsburgh Campus,52,57,52,54,52,56,55,50,42,75,58,56,56,42,52,39,46,56,46,55,68
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Portland,20,31,37,27,19,27,18,10,15,30,25,27,21,25,24,35,17,18,6,12,10
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Puerto Rico-Mayaguez,102,81,78,75,93,85,82,111,108,105,144,129,125,145,140,159,137,123,124,126,125
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Rhode Island,27,35,33,22,27,23,36,35,35,35,26,32,31,38,15,15,21,17,18,23,19
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Rochester,62,65,44,34,28,24,20,19,13,16,14,19,29,35,29,28,12,25,12,23,37
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of San Diego,25,29,18,22,12,15,15,6,13,8,3,18,12,20,15,18,14,19,7,4,7
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Scranton,6,6,3,6,6,1,4,5,2,5,3,1,3,1,4,2,6,4,1,6,6
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of South Alabama,46,28,29,29,27,34,21,26,23,20,27,33,10,13,29,35,29,25,19,56,36
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of South Carolina-Columbia,50,36,49,25,29,30,42,32,37,35,38,39,42,34,20,34,37,35,29,29,37
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of South Florida-Main Campus,70,83,87,67,86,77,72,77,61,99,109,69,94,78,78,92,60,53,54,54,68
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of South Florida-Sarasota-Manatee,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Southern California,65,111,76,70,52,50,59,58,54,91,99,86,72,76,66,56,52,48,51,56,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Southern Maine,15,21,20,12,6,9,7,13,8,9,9,16,8,4,8,12,8,10,7,5,7
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of St Thomas,29,26,15,21,23,22,20,23,11,17,11,14,9,9,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of the Pacific,16,10,9,14,11,7,8,7,8,6,7,15,18,9,17,14,15,10,9,13,16
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Toledo,55,41,40,46,33,43,35,30,22,28,44,40,40,51,50,38,37,35,48,39,46
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Tulsa,17,9,19,14,15,18,22,18,12,7,9,11,17,21,9,16,17,-,-,-,14
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Utah,46,52,57,47,66,53,46,41,44,65,62,72,55,30,49,56,37,39,52,51,53
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Vermont,18,19,25,17,25,21,16,12,15,11,21,23,18,21,17,12,17,22,13,8,18
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Virginia-Main Campus,34,29,41,42,43,31,26,40,36,50,40,40,51,67,61,48,54,60,51,51,54
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Washington-Bothell Campus,68,64,56,52,18,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Washington-Seattle Campus,196,184,190,178,148,161,156,164,169,161,176,162,177,187,196,221,166,137,190,161,183
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Wisconsin-Madison,100,63,74,58,60,56,65,58,75,68,101,96,105,118,114,95,147,143,117,151,146
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Wisconsin-Milwaukee,66,71,51,52,40,45,41,35,33,41,43,33,53,45,55,42,31,30,31,31,32
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Wisconsin-Platteville,63,50,40,41,42,33,27,28,28,17,28,34,34,31,34,39,38,26,44,34,38
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",University of Wyoming,27,16,13,21,18,26,23,16,24,23,25,23,27,23,31,36,35,38,30,35,40
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Utah State University,34,42,39,30,28,33,29,38,35,48,50,58,45,51,30,30,36,44,29,41,41
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Utah State University-Regional Campuses And Distance Education,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Valparaiso University,29,26,26,14,22,22,13,15,9,12,17,15,20,29,33,25,32,27,9,9,14
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Vanderbilt University,23,27,28,26,16,22,14,27,26,23,22,25,33,31,27,34,41,56,64,53,45
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Villanova University,30,27,27,41,15,22,25,18,21,17,15,20,22,23,33,33,34,16,32,29,25
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Virginia Commonwealth University,32,22,35,32,28,39,26,40,40,26,28,24,32,25,23,37,20,23,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Virginia Military Institute,7,7,13,7,9,6,8,11,6,7,8,10,9,7,12,11,10,13,13,13,13
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Virginia Polytechnic Institute and State University,143,118,128,144,107,90,98,102,112,125,134,144,123,132,151,159,125,121,148,148,131
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Washington State University,122,96,107,92,77,67,51,60,55,45,56,44,56,59,56,47,53,70,53,69,83
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Washington University in St Louis,30,34,39,26,28,18,12,9,17,26,20,25,16,23,22,32,48,40,30,35,37
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wayne State University,49,51,34,28,43,24,30,43,52,55,53,54,54,72,46,51,43,63,55,44,54
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Weber State University,32,22,21,11,4,8,-,-,-,-,-,-,21,28,30,16,25,-,-,26,24
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wentworth Institute of Technology,23,23,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",West Virginia University,48,50,43,43,35,40,20,41,40,51,48,40,43,44,43,46,53,45,53,40,39
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",West Virginia University Institute of Technology,10,12,10,7,11,9,12,7,21,30,48,34,23,18,18,15,22,32,23,25,26
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Western Carolina University,28,14,10,9,8,11,2,8,10,3,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Western Kentucky University,14,22,13,23,20,13,10,10,13,10,15,5,4,8,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Western Michigan University,47,33,25,41,45,43,31,28,28,34,43,34,32,45,24,24,29,36,35,43,59
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Western New England University,24,33,30,24,21,23,35,15,11,25,17,22,31,20,22,19,13,18,20,16,15
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Western Washington University,21,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Westwood College-Denver North,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wichita State University,54,46,39,30,34,41,40,47,24,29,47,39,43,41,27,28,46,45,50,54,57
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Widener University,9,9,14,9,20,18,12,11,12,9,10,15,11,18,24,14,12,13,18,18,28
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wilberforce University,1,1,2,-,1,2,1,2,5,1,3,2,1,4,3,2,-,1,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wilkes University,24,17,10,11,11,7,17,6,10,11,8,6,12,6,9,15,9,11,11,13,13
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Worcester Polytechnic Institute,105,96,88,94,77,88,70,73,80,85,95,88,26,52,111,122,99,88,99,89,101
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wright State University-Lake Campus,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Wright State University-Main Campus,64,65,46,44,50,32,32,34,32,35,34,36,26,32,27,19,32,40,36,41,39
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Yale University,8,4,5,2,2,2,6,5,9,1,5,4,4,9,2,2,6,4,9,5,5
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",York College of Pennsylvania,12,5,9,8,4,6,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Bachelor's degree,"14.10 - Electrical, Electronics And Communications Engineering",Youngstown State University,35,23,29,16,19,13,15,28,18,27,28,30,19,32,31,18,25,31,20,27,41
Postbaccalaureate certificate,Total for selected values,Total for selected values,"1,201","1,019",875,853,755,666,635,353,365,386,318,371,367,331,375,491,589,353,178,151,120
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Total for selected values,388,378,321,401,341,277,306,140,141,136,114,114,122,157,168,217,269,124,82,60,44
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",American Public University System,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Arcadia University,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Bentley University,-,-,1,-,-,-,-,-,2,-,-,-,-,1,1,2,2,5,4,2,11
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",California State University-Los Angeles,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Calumet College of Saint Joseph,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Central Michigan University,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",City University of Seattle,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",College of Charleston,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Denver Technical At Colorado Springs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,23,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Denver Technical College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,87,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",DeSales University,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,2,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Eastern Michigan University,-,-,1,-,-,2,2,-,2,-,2,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Edinboro University of Pennsylvania,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",EDP University of Puerto Rico Inc-San Juan,-,-,-,-,-,-,4,1,14,14,7,11,3,2,2,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Elmhurst College,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",George Mason University,19,12,20,16,6,19,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Grand Valley State University,2,3,4,10,3,1,8,7,1,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Harrisburg University of Science and Technology,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Harvard University,-,-,-,-,-,1,6,11,6,5,4,8,13,19,17,27,36,17,18,12,10
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Indiana University-Kokomo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Indiana University-South Bend,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Inter American University of Puerto Rico-Metro,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Iona College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Kaplan University-Davenport Campus,12,21,20,31,35,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Kaplan University-Maine Campus,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Kaplan University-Omaha Campus,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Kennesaw State University,19,11,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Kent State University at Kent,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Lindenwood University,6,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Marist College,9,8,3,5,-,-,-,-,-,-,-,3,4,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Marygrove College,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Marymount University,9,11,3,8,5,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Mercyhurst University,-,-,-,-,-,-,-,1,-,-,-,-,-,3,2,-,-,-,6,5,1
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Mills College,1,-,-,-,-,1,-,-,-,1,-,-,-,1,1,2,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Missouri University of Science and Technology,-,4,-,-,3,6,4,1,4,-,3,-,1,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Monmouth University,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Montclair State University,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Muhlenberg College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Murray State University,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Naval Postgraduate School,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",New Jersey Institute of Technology,17,3,8,11,7,-,6,-,2,5,3,-,7,2,14,6,12,29,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Northeastern University,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Oregon State University,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Pace University-New York,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Pace University-White Plains,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Park University,3,3,-,-,1,2,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Purdue University-Main Campus,1,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Radford University,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Regis University,26,41,65,88,79,79,64,45,61,54,42,40,46,45,66,52,62,42,15,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Rensselaer at Hartford,-,-,-,-,-,-,-,-,-,2,7,7,7,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Rochester Institute of Technology,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Saint Louis University,-,-,-,-,-,5,1,2,3,3,6,5,4,14,14,9,11,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Salve Regina University,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",South Pacific University & School of Theology Re,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Southern New Hampshire University,1,7,13,20,5,3,1,-,-,-,-,-,-,12,8,30,8,19,22,14,16
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Southern Polytechnic State University,-,-,-,12,8,2,1,2,4,3,-,-,-,2,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Stevens Institute of Technology,17,31,13,32,30,28,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Texas State University,3,2,4,3,6,4,6,6,10,1,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Texas Woman's University,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",The College of Saint Rose,7,3,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",The College of Saint Scholastica,-,-,-,4,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",The Economics Institute,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",The University of Texas at Dallas,-,13,-,-,-,-,55,31,-,26,8,14,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Towson University,3,3,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Trident University International,7,5,8,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Tulane University of Louisiana,1,-,2,3,6,2,2,-,-,1,2,2,9,10,8,4,-,-,6,2,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",Universidad del Sagrado Corazon,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Arkansas at Little Rock,15,6,12,3,7,11,2,5,10,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Cincinnati-Blue Ash College,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Cincinnati-Main Campus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,3,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Denver,38,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Hartford,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Iowa,8,2,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Kansas,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Kentucky,-,1,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Maine at Augusta,-,-,-,-,-,-,-,1,2,3,4,1,4,4,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Maryland-University College,7,6,3,-,-,-,-,1,1,2,2,1,2,3,1,2,1,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Massachusetts-Boston,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Massachusetts-Lowell,-,-,1,2,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Memphis,1,1,-,2,4,1,13,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Minnesota-Twin Cities,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Nebraska at Omaha,-,-,-,43,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of New Haven,-,1,3,-,1,9,1,1,-,-,2,-,5,14,-,1,3,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Phoenix-Arizona,26,49,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Phoenix-Online Campus,-,-,-,-,64,58,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Puerto Rico-Rio Piedras,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of Southern Indiana,-,-,2,1,1,-,2,1,-,-,-,-,-,3,4,4,3,2,-,-,-
Postbaccalaureate certificate,"11.01 - Computer And Information Sciences, General",University of St Thomas,55,19,6,5,7,8,7,7,4,6,6,-,-,-,-,-,-,-,-,-,-
